Role;Name;Games;Wins;Loses;WR;K;D;A;KDA;CS;CS/M;G;G/M;KPAR;KS;GS;CP;;
Mid;Humanoid;18;12;6;66.7%;3.44;3.5;6.22;2.76;270.94;8.09;13.6;408;62.6%;22.3%;22.2%;11;;
Mid;Vetheo;18;12;6;66.7%;4.72;2;5.89;5.31;293.11;8.86;13.9;420;71.8%;32%;23.1%;8;;
Mid;Nisqy;18;11;7;61.1%;4.39;2.78;6.39;3.88;248.61;7.81;12.9;406;63.2%;25.7%;21.6%;9;;
Mid;LIDER;18;8;10;44.4%;3.94;2.83;4.72;3.06;271.5;8.74;13.1;422;62.7%;28.5%;23.4%;6;;
Mid;MagiFelix;18;7;11;38.9%;3.61;2.72;4.5;2.98;264.22;8.09;12.6;385;68.2%;30.4%;22.7%;8;;
Mid;Nukeduck;18;7;11;38.9%;3.44;1.89;4.67;4.29;265.11;8.14;12.9;397;71.2%;30.2%;23%;9;;
Mid;NUCLEARINT;18;3;15;16.7%;2.72;2.89;3.11;2.02;242.67;7.9;11.4;372;66%;30.8%;22.3%;13;;
Mid;Blue;15;5;10;33.3%;3.13;2.53;3.87;2.76;288.07;9.27;12.7;408;69.1%;30.9%;23.8%;8;;
Mid;Twohoyrz;3;0;3;0%;3.33;2;3;3.17;264.67;7.74;12.3;360;65.5%;34.5%;22%;2;;
Jungle;Inspired;18;13;5;72.2%;3.17;1.94;7.22;5.34;203.28;6.31;11.6;361;67%;20.4%;19.1%;9;;
Jungle;Elyoya;18;12;6;66.7%;3.5;2.28;7.39;4.78;197.5;5.9;11.9;356;70.5%;22.7%;19.4%;10;;
Jungle;Jankos;18;12;6;66.7%;3.89;2.28;6.67;4.63;197.61;6.18;11.6;363;65.3%;24.1%;19.3%;7;;
Jungle;Razork;18;12;6;66.7%;3.22;2.94;8.17;3.87;185.56;5.61;11.5;346;77.1%;21.8%;19%;7;;
Jungle;Bwipo;18;11;7;61.1%;3.39;3.33;8.33;3.52;200;6.29;11.6;366;68.7%;19.9%;19.4%;10;;
Jungle;Selfmade;18;8;10;44.4%;3.89;3;6.11;3.33;194.28;6.26;11;355;72.3%;28.1%;19.7%;7;;
Jungle;Zanzarah;18;7;11;38.9%;2.22;3.5;7.06;2.65;174.44;5.34;10.5;321;78%;18.7%;18.9%;8;;
Jungle;Treatz;18;5;13;27.8%;1.89;2.78;5.17;2.54;180.33;5.71;10.2;323;70.2%;18.8%;19%;12;;
Jungle;Kirei;18;3;15;16.7%;1.72;3.78;3.72;1.44;161.06;5.24;9.4;307;61.6%;19.5%;18.4%;12;;
Jungle;Markoon;11;5;6;45.5%;3.09;3.18;6.91;3.14;178.73;5.34;11.3;339;75.3%;23.3%;19%;4;;
Jungle;Dan;7;2;5;28.6%;1.86;2.57;4.14;2.33;154.43;4.96;9.3;299;71.2%;22%;18.5%;4;;
Adc;Hans sama;18;13;5;72.2%;3.94;1.67;5.94;5.93;309.89;9.62;14.6;453;63.8%;25.4%;23.9%;8;;
Adc;Carzzy;18;12;6;66.7%;4.94;2.33;5.61;4.52;306.06;9.14;14.8;442;68.3%;32%;24%;9;;
Adc;Kobbe;18;12;6;66.7%;3.17;1.72;6.22;5.45;308.5;9.32;14.1;427;63.5%;21.4%;23.5%;7;;
Adc;Rekkles;18;12;6;66.7%;5.28;1.11;4.33;8.65;330.83;10.34;15;470;59.5%;32.6%;25%;7;;
Adc;Upset;18;11;7;61.1%;5;1.17;5.89;9.33;310.83;9.77;14.7;462;63.8%;29.3%;24.5%;8;;
Adc;Crownshot;18;8;10;44.4%;4;1.33;4.5;6.38;310.89;10.01;13.9;448;61.4%;28.9%;24.9%;7;;
Adc;Jeskla;18;7;11;38.9%;2;2.61;5.44;2.85;266.44;8.16;12.6;385;62.6%;16.8%;22.7%;10;;
Adc;Patrik;18;7;11;38.9%;3;2.06;4.67;3.73;294;9.02;13.7;419;67.3%;26.3%;24.3%;9;;
Adc;Jezu;18;5;13;27.8%;2.72;2.06;4.06;3.3;279.28;8.84;12.4;393;67.4%;27.1%;23.1%;8;;
Adc;Neon;18;3;15;16.7%;2;2.61;2.61;1.77;279.39;9.09;12.1;394;52.2%;22.6%;23.7%;11;;
Supp;Trymbi;18;13;5;72.2%;1.44;2.83;8.89;3.65;31.89;0.99;7.8;243;66.7%;9.3%;12.9%;9;;
Supp;Kaiser;18;12;6;66.7%;0.72;3;9.44;3.39;37.94;1.13;8;239;65.8%;4.7%;13%;8;;
